## 建议保留的关键词（共124个）

| 关键词 | 次数 | 保留理由 |
|--------|------|----------|
| 学习 | 40 | 核心元概念，可积累方法论 |
| C++ | 25 | 核心技术栈，高频 |
| 时间管理 | 21 | 个人效率核心主题 |
| 游戏 | 21 | 作为娱乐/设计/成瘾等子主题的容器 |
| thin | 19 | 你的笔记软件Thino，工具类保留 |
| 反思 | 16 | 元认知核心 |
| 成长 | 15 | 个人发展主线 |
| 技术 | 15 | 宽泛但必要，作为技术总览 |
| 效率 | 15 | 核心追求 |
| 项目 | 15 | 行动单元 |
| Python | 14 | 主要编程语言 |
| 编程 | 12 | 核心技能 |
| 睡眠 | 11 | 健康主题 |
| 价值 | 10 | 哲学/决策概念，可积累 |
| 日记 | 10 | 日常记录 |
| 自由 | 10 | 核心价值观 |
| 英语学习 | 10 | 具体技能 |
| 计划 | 10 | 行动工具 |
| AI | 9 | 时代主题 |
| 完美主义 | 9 | 心理/行为模式 |
| 算法 | 9 | 核心能力 |
| 记忆 | 9 | 认知主题 |
| 创新 | 8 | 思维主题 |
| 开发 | 8 | 实践动作 |
| 情绪 | 8 | 虽偏感受但高频，可积累情绪管理 |
| 模块 | 8 | 架构概念 |
| 目标 | 8 | 管理核心 |
| 线性代数 | 8 | 数学基础 |
| 调试 | 8 | 编程技能 |
| 人际关系 | 7 | 社交主题 |
| 健康 | 7 | 生活主题 |
| 思考 | 7 | 元认知 |
| 技术栈 | 7 | 工程概念 |
| 数据结构 | 7 | 核心知识 |
| 自律 | 7 | 行为主题 |
| Linux | 6 | 技术工具 |
| 数学分析 | 6 | 数学基础 |
| 自我认知 | 6 | 心理主题 |
| 行动 | 6 | 实践哲学 |
| 规划 | 6 | 管理动作 |
| 认知 | 6 | 核心心理学概念 |
| 记录 | 6 | 笔记习惯 |
| 课程 | 6 | 学习单元 |
| 资本 | 6 | 经济主题 |
| 进步 | 6 | 成长度量 |
| 阅读 | 6 | 学习方式 |
| 限制 | 6 | 约束思考 |
| 风险 | 6 | 决策因素 |
| Obsidian | 5 | 笔记工具 |
| 信息流 | 5 | 信息管理 |
| 兴趣 | 5 | 动机来源 |
| 决策 | 5 | 核心能力 |
| 动力 | 5 | 心理学概念 |
| 后端 | 5 | 技术领域 |
| 图书馆 | 5 | 学习环境 |
| 学习策略 | 5 | 方法论 |
| 平衡 | 5 | 生活哲学 |
| 技术学习 | 5 | 元学习 |
| 接口 | 5 | 工程概念 |
| 插件 | 5 | 软件扩展 |
| 操作系统 | 5 | 核心知识 |
| 数学 | 5 | 基础学科 |
| 框架 | 5 | 工程概念 |
| 模块化 | 5 | 设计原则 |
| 沟通 | 5 | 软技能 |
| 测试 | 5 | 工程实践 |
| 爬虫 | 5 | 技术方向 |
| 知识 | 5 | 元概念 |
| 经验 | 5 | 学习产物 |
| 自我 | 5 | 心理学主题 |
| 英语 | 5 | 语言技能 |
| 面向对象 | 5 | 编程范式 |
| AI辅助 | 4 | 工作流 |
| API | 4 | 技术概念 |
| C语言 | 4 | 编程基础 |
| DeepSeek | 4 | AI工具 |
| Docker | 4 | 容器技术 |
| MCP | 4 | 协议/工具 |
| TypeScript | 4 | 语言 |
| mac | 4 | 平台 |
| 中断 | 4 | 系统概念 |
| 书籍 | 4 | 知识载体 |
| 休息 | 4 | 健康 |
| 优先级 | 4 | 管理 |
| 内核 | 4 | 系统核心 |
| 前端 | 4 | 技术领域 |
| 前端开发 | 4 | 具体方向 |
| 大学 | 4 | 教育阶段 |
| 家庭 | 4 | 社会单元 |
| 市场 | 4 | 经济概念 |
| 微信 | 4 | 工具 |
| 思维 | 4 | 元概念 |
| 抽象 | 4 | 思维工具 |
| 拖延 | 4 | 行为问题 |
| 教育 | 4 | 领域 |
| 数据库 | 4 | 技术 |
| 文档 | 4 | 产出物 |
| 朋友 | 4 | 社交 |
| 未来 | 4 | 时间视角 |
| 权力 | 4 | 社会概念 |
| 架构 | 4 | 工程 |
| 架构设计 | 4 | 工程 |
| 梦境 | 4 | 心理学/日记 |
| 死锁 | 4 | 并发概念 |
| 管理 | 4 | 通用能力 |
| 经济 | 4 | 学科 |
| 自动化 | 4 | 技术目标 |
| 自我管理 | 4 | 元能力 |
| 读书 | 4 | 学习方式 |
| 资产 | 4 | 财务 |
| 资源 | 4 | 通用 |
| 软件工程 | 4 | 领域 |
| 金融 | 4 | 学科 |
| 问题 | 4 | 元概念 |
| 需求 | 4 | 工程/心理 |
| AI技术 | 3 | 子领域 |
| C++项目 | 3 | 实践 |
| GPT | 3 | 模型 |
| GitHub | 3 | 平台 |
| Go语言 | 3 | 语言 |
| Java | 3 | 语言 |
| RSS | 3 | 信息获取 |
| TCP | 3 | 网络协议 |
| Tauri | 3 | 框架 |
| 互联网 | 3 | 领域 |
| 人工智能 | 3 | 领域 |
| 人生选择 | 3 | 决策主题 |
| 人际交往 | 3 | 社交子集 |
| 关系 | 3 | 通用但必要 |
| 内存 | 3 | 系统概念 |
| 内存管理 | 3 | 系统概念 |
